Date,BRLUSDCurncy,CDXTEL15Index,CDXTHL15Index,CDXTIL15Index,CNYCNHCMPNCurncy,CNYUSDCurncy,CSIAIndex,CSIBARCIndex,CSIBBBIndex,EPUCNUSDIndex,EURUSDCurncy,FEDL01Index,JPMVXYEMIndex,JPMVXYG7Index,MOVEIndex,MXEFIndex,SPXIndex,TYVIXIndex,USDCADCurncy,USDKRWCurncy,USGG10YRIndex,USGG2YRIndex,USGG30YRIndex,USGG3MINDEX,USGG5YRIndex,V2XINDEX,VIXIndex
715879,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,NaN,NaN,NaN,NaN,59.91,NaN,NaN,NaN,NaN,NaN,NaN,4.52,NaN,NaN,NaN
715880,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,NaN,NaN,NaN,NaN,60.39,NaN,NaN,NaN,NaN,NaN,NaN,4.55,NaN,NaN,NaN
715881,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,NaN,NaN,NaN,NaN,60.13,NaN,NaN,NaN,NaN,NaN,NaN,4.68,NaN,NaN,NaN
715882,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,NaN,NaN,NaN,NaN,59.69,NaN,NaN,NaN,NaN,NaN,NaN,4.63,NaN,NaN,NaN
715883,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,NaN,NaN,NaN,NaN,59.5,NaN,NaN,NaN,NaN,NaN,NaN,4.59,NaN,NaN,NaN
715886,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,NaN,NaN,NaN,NaN,58.77,NaN,NaN,NaN,NaN,NaN,NaN,4.54,NaN,NaN,NaN
715887,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,NaN,NaN,NaN,NaN,58.41,NaN,NaN,NaN,NaN,NaN,NaN,4.54,NaN,NaN,NaN
715888,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,NaN,NaN,NaN,NaN,58.08,NaN,NaN,NaN,NaN,NaN,NaN,4.56,NaN,NaN,NaN
715889,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,NaN,NaN,NaN,NaN,58.4,NaN,NaN,NaN,NaN,NaN,NaN,4.51,NaN,NaN,NaN
715890,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,NaN,NaN,NaN,NaN,58.38,NaN,NaN,NaN,NaN,NaN,NaN,4.49,NaN,NaN,NaN
715893,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,NaN,NaN,NaN,NaN,57.89,NaN,NaN,NaN,NaN,NaN,NaN,4.37,NaN,NaN,NaN
